common_name,date,prop_pop
American Avocet,2019-01-04,0
American Avocet,2019-01-11,0
American Avocet,2019-01-18,0
American Avocet,2019-01-25,0
American Avocet,2019-02-01,0
American Avocet,2019-02-08,0
American Avocet,2019-02-15,0
American Avocet,2019-02-22,0
American Avocet,2019-03-01,0
American Avocet,2019-03-08,0
American Avocet,2019-03-15,0
American Avocet,2019-03-22,5.32123435858603e-5
American Avocet,2019-03-29,1.644389946389026e-4
American Avocet,2019-04-05,0.00108949198375613
American Avocet,2019-04-12,0.004028423670933347
American Avocet,2019-04-19,0.011836251235265553
American Avocet,2019-04-26,0.017691947921229294
American Avocet,2019-05-03,0.01569344466834817
American Avocet,2019-05-10,0.015921762215022558
American Avocet,2019-05-17,0.015771147938741452
American Avocet,2019-05-24,0.01712049307893291
American Avocet,2019-05-31,0.01649690670031368
American Avocet,2019-06-07,0.015380091113260243
American Avocet,2019-06-14,0.015185401499734307
American Avocet,2019-06-21,0.016302714379648114
American Avocet,2019-06-28,0.016339411938325905
American Avocet,2019-07-06,0.02057489982115109
American Avocet,2019-07-13,0.02194810176319102
American Avocet,2019-07-20,0.021786715882312152
American Avocet,2019-07-27,0.026114149313490972
American Avocet,2019-08-03,0.0257279806129112
American Avocet,2019-08-10,0.024969989662231497
American Avocet,2019-08-17,0.027483439331168973
American Avocet,2019-08-24,0.024088723140496218
American Avocet,2019-08-31,0.020799419384140438
American Avocet,2019-09-07,0.0172520031959445
American Avocet,2019-09-14,0.01587684292482065
American Avocet,2019-09-21,0.013756532145681606
American Avocet,2019-09-28,0.008394840104889995
American Avocet,2019-10-05,0.004460046080539523
American Avocet,2019-10-12,0.0030376727984220988
American Avocet,2019-10-19,0.002655436844162883
American Avocet,2019-10-26,0.0024198671021901153
American Avocet,2019-11-02,0.0018539394748642972
American Avocet,2019-11-09,0.0014901482930153216
American Avocet,2019-11-16,8.998930533519955e-4
American Avocet,2019-11-23,4.328734058994089e-4
American Avocet,2019-11-30,0
American Avocet,2019-12-07,0
American Avocet,2019-12-14,0
American Avocet,2019-12-21,0
American Avocet,2019-12-28,0
Snowy Plover,2019-01-04,0
Snowy Plover,2019-01-11,0
Snowy Plover,2019-01-18,0
Snowy Plover,2019-01-25,0
Snowy Plover,2019-02-01,0
Snowy Plover,2019-02-08,0
Snowy Plover,2019-02-15,0
Snowy Plover,2019-02-22,0
Snowy Plover,2019-03-01,0
Snowy Plover,2019-03-08,9.471843623184487e-5
Snowy Plover,2019-03-15,7.214753301922965e-4
Snowy Plover,2019-03-22,0.0022087701932198374
Snowy Plover,2019-03-29,0.004483275334164998
Snowy Plover,2019-04-05,0.010939426025600928
Snowy Plover,2019-04-12,0.018957333945613705
Snowy Plover,2019-04-19,0.025094709279949376
Snowy Plover,2019-04-26,0.029105941024649924
Snowy Plover,2019-05-03,0.025335929210434097
Snowy Plover,2019-05-10,0.020245078675158144
Snowy Plover,2019-05-17,0.01655890491123466
Snowy Plover,2019-05-24,0.015686920825317387
Snowy Plover,2019-05-31,0.015416783858749386
Snowy Plover,2019-06-07,0.018977183633997717
Snowy Plover,2019-06-14,0.019565782885388537
Snowy Plover,2019-06-21,0.01949973500008451
Snowy Plover,2019-06-28,0.021072821031011244
Snowy Plover,2019-07-06,0.02512686163243007
Snowy Plover,2019-07-13,0.025908546595087414
Snowy Plover,2019-07-20,0.02719488411934473
Snowy Plover,2019-07-27,0.0266264724890483
Snowy Plover,2019-08-03,0.02088425258660057
Snowy Plover,2019-08-10,0.01686724909308445
Snowy Plover,2019-08-17,0.01542368113920785
Snowy Plover,2019-08-24,0.01352864492223702
Snowy Plover,2019-08-31,0.008784728967308617
Snowy Plover,2019-09-07,0.006613892061200096
Snowy Plover,2019-09-14,0.005486425005210888
Snowy Plover,2019-09-21,0.0039815276466900395
Snowy Plover,2019-09-28,0.0026586331859573503
Snowy Plover,2019-10-05,0.0013346893738277888
Snowy Plover,2019-10-12,9.120958173298208e-4
Snowy Plover,2019-10-19,6.642816079384369e-4
Snowy Plover,2019-10-26,2.3513780039979685e-4
Snowy Plover,2019-11-02,0
Snowy Plover,2019-11-09,0
Snowy Plover,2019-11-16,0
Snowy Plover,2019-11-23,0
Snowy Plover,2019-11-30,0
Snowy Plover,2019-12-07,0
Snowy Plover,2019-12-14,0
Snowy Plover,2019-12-21,0
Snowy Plover,2019-12-28,0
Hudsonian Godwit,2019-01-04,0
Hudsonian Godwit,2019-01-11,0
Hudsonian Godwit,2019-01-18,0
Hudsonian Godwit,2019-01-25,0
Hudsonian Godwit,2019-02-01,0
Hudsonian Godwit,2019-02-08,0
